ID DE SYSTÈME DE PROJET;NOM DU PROJET;PUISSANCE (KW);COMMUNE;LATITUDE;LONGITUDE;PERIMETRE;etat
2,12369E+17;ST JEANNET_MANENT 1;100;ST JEANNET_MANENT 1;43.98717;6.123419;1;disponible
2,12369E+17;RISOUL_GAEC LA FERME DE CHAGNE;122;RISOUL;44.649083;6.644417;1;disponible
2,12369E+17;ST GILLES_SOLEIL DE PROVENCE_MAS MIREILLE;440;st gilles ;43.673227;4.444879;1;disponible
2,12369E+17;SISTERON_MASSOT;249.28;Sisteron;44.23244041468492;5.913257253417982;1;disponible
2,12369E+17;REVEST DU BION_QUENIN 4;99;Revest-du-Bion;44.08350338165693;5.53175393148521;1;disponible
2,12369E+17;REVEST DU BION_QUENIN 2;170;Revest du bion;44.07671;5.534599;1;disponible
2,12369E+17;REVEST DU BION_QUENIN 1;244;Revest-du-Bion;44.108785;5.57803;10;disponible
2,12369E+17;REDORTIERS_BURCHERIE 3;36;REDORTIERS;44.066988;5.585369;1;disponible
2,12369E+17;REDORTIERS_BURCHERIE 2;99;REDORTIERS;44.065937;5.58507;1;disponible
2,12369E+17;REDORTIERS_BURCHERIE 1;250;REDORTIERS;44.065918;5.585123;1;disponible
2,12369E+17;PUIMICHEL_CUMA 1.1 et 1.2;99;Puimichel;43.947598;5.989855;1;disponible
2,12369E+17;ORAISON_DONOVAN;230;Oraison;43.932789;5.912615;1;disponible
2,12369E+17;LES MEES_EARL LES PENITENTS 4;99; Les Mées;44.0396000211714;5.986707291794569;1;disponible
2,12369E+17;LE POET_MASSOT Vergers;277.4;LE POET;44.258167;5.915795;1;disponible
2,12369E+17;LE POET_MASSOT Cap Alliance;218.88;LE POET;44.258167;-;1;disponible
2,12369E+17;LE THOR_ACROUE;112;LE THOR;43.924808;5.013832;1;disponible
2,12369E+17;JARJAYES_COEUR;234.08;JARJAYES;44.512028;6.11525;1;disponible
2,12369E+17;GAP_COINTE;250;GAP;44.54857799365648;6.054356250151479;1;disponible
2,12369E+17;EURRE_ANNONAY PRODUCTION FRANCE;500;EURRE;44.740107;4.969808;1;disponible
2,12369E+17;CLUMANC_MOLLING Bruno;114; Clumanc;44.01839242018828;6.363495724471886;1;disponible
2,12369E+17;CHAUDON-NORANTE_FLEURY;249;Chaudon-Norante;43.99979857033414;6.3240681846704;1;disponible
2,12369E+17;BREZIERS_MASSOT Thierry;99;BREZIERS;44.406924;6.215315;1;disponible
2,12369E+17;CHATEAUNEUF DE GADAGNE_LABORATOIRE ROSIER DAVENNE 1.1 IR;224;CHATEAUNEUF-DE-GADAGNE;43.92826;4.9515;1;disponible
2,12369E+17;BREZIERS_MASSOT JM2;191.52;BREZIERS;44.405779636646905;6.2168174335902835;1;disponible
2,12369E+17;BRIGNOLES_DENALE;248.5;Brignoles;43.408278;5.632056;1;disponible
2,12369E+17;BARREME_FERAUD 3 (BAC);72;BARREME;43.953875;6.369454;1;disponible
2,12369E+17;BANON_PELISSIER 1 (DP);99;Banon;44.01996;5.632056;1;disponible
2,12369E+17;AUBAGNE_KARTING 1.2;250;Aubagne;43.28387840469074;5.522070271721174;1;disponible
2,12369E+17;JONQUIERES_LA TERRE D'EMIE;94;JONQUIERES;44.1238305;4.92253;1;Bientôt disponible
2,12369E+17;SENAS_SCI SAURIN 13;270.1;Sénas;43.740348;5.099855;1;Bientôt disponible
2,12369E+17;MISON_GARCIN 1.2;163;MISON;44.241925;5.883693;1;Bientôt disponible
2,12369E+17;MISON_GARCIN 1.1;273;MISON;44.241925;5.883693;1;Bientôt disponible
2,12369E+17;EURRE_ANNONAY PRODUCTION FRANCE 2;180;EURRE;44.739831;4.969828;1;Bientôt disponible
2,12369E+17;CALLIAN_BOOS 1.1;193;CALLIAN;43.6049;6.75358;1;Bientôt disponible
2,12369E+17;CALLIAN_BOOS 1.2;192;CALLIAN;43.6049;6.75358;1;Bientôt disponible
2,12369E+17;CLEON D'ANDRAN_SCI CHRISTE;172.35;CLEON D'ANDRAN;44.609;4.924748;1;Bientôt disponible
2,12369E+17;PUIMOISSON_SCI 3A 1.2;145;PUIMOISSON;43.8673891;6.128948145;1;Bientôt disponible
2,12369E+17;PUIMOISSON_SCI 3A 1.1;255;PUIMOISSON;43.8673891;6.128948145;1;Bientôt disponible
2,12369E+17;SISTERON_PESENTI;250;Sisteron;44.231231;5.913763;1;Bientôt disponible
2,12369E+17;SIMIANE-COLLONGUE_SAS MGV (PADEL) 1.2;178.5;Simiane-Collongue;43.42946;5.418623;1;Bientôt disponible
2,12369E+17;LA ROQUE ESCLAPON_FABRE 1.2;166;LA ROQUE ESCLAPON;43.7238;6.60473477;1;Bientôt disponible
2,12369E+17;BRUGES_ANTHENO 1.2 IR;250;BRUGES;44.8957442;-0.60419;1;Bientôt disponible
2,12369E+17;EYGALIERES_ZACHARIE Dylan;141.68;Eygalieres;43.778016;4.954598;1;Bientôt disponible
2,12369E+17;LAZER_GUIEU Andre;204;Lazer;44.349648;5.835608;1;Bientôt disponible
2,12369E+17;LAZER_IMBARD Jéremy;278;Lazer;44.346355;5.835264;1;Bientôt disponible
2,12369E+17;LE ROUSSET MARIZY_PANAY;300;Le Rousset Marizy;46.59584;4.431396;1;Bientôt disponible
2,12369E+17;AVANCON_QUEYREL;227.04;Avançon;44.5594;6.17961;1;Bientôt disponible
2,12369E+17;ST AGNAN EN VERCORS_ARNAUD FILS 1.2;172.8;ST AGNAN EN VERCORS;44.929579;5.4338422;1;Bientôt disponible
2,12369E+17;LA BATIE VIEILLE_BOISSERANC Mickael 1.1;269;La Batie-Vieille;44.569149;6.150846;1;Bientôt disponible
2,12369E+17;ALLAN_USINE CDS 3 LOC TOITURES;300;MALATAVERNE;44.48493;4.765175;1;Bientôt disponible
2,12369E+17;MAILLANE_BIGARREAUX DU SUD 1.2 IR;207;MAILLANE;43.814825;4.78774;1;Bientôt disponible
2,12369E+17;MAILLANE_BIGARREAUX DU SUD 1.1 IR;206;MAILLANE;43.814825;4.78774;1;Bientôt disponible
2,12369E+17;SENAS_ALPILLES SMASH PADEL 1 (IR);290;Sénas;43.74347053;5.085492943;1;Bientôt disponible
2,12369E+17;SIGNES_SMASH PADEL;232.8;SIGNES;43.25959415;5.794827704;1;Bientôt disponible
2,12369E+17;MALLEMORT_MASSE Alain 1.2 (PC);250;Mallemort;43.7147589;5.221105365;1;Bientôt disponible
2,12369E+17;SIMIANE-COLLONGUE_SAS MGV (PADEL) 1.1;178.5;Simiane-Collongue;43.42946;5.418623;1;Bientôt disponible
2,12369E+17;SENAS_SCEA DURANCE ALPILLES 1.2 IR;190;SENAS;43.7501478;5.111271468;1;Bientôt disponible
2,12369E+17;SENAS_SCEA DURANCE ALPILLES 1.1 IR;190;SENAS;43.7501478;5.111271468;1;Bientôt disponible
2,12369E+17;LES ORRES_GAEC LE POUZENC;264;LES ORRES;44.49761156;6.549694264;1;Bientôt disponible
2,12369E+17;CASTELLANE_DECHETTERIE;28;Castellane;43.843885;6.532845;1;Bientôt disponible
2,12369E+17;EYGUIERES_RICAUD;283;EYGUIERES;43.669;4.988114;1;Bientôt disponible
2,12369E+17;AUBAGNE_KARTING 1.3;170;AUBAGNE;43.283498;5.52178115;1;Bientôt disponible
2,12369E+17;MANOSQUE_BERTRAND RENEE_1.2;130;MANOSQUE;43.81300901749556;5.775078302858869;1;Bientôt disponible
2,12369E+17;ST CHRISTOL_MAUREL VINCENT 4.1;100;ST CHRISTOL;44.0508868;5.535402505;1;Bientôt disponible
2,12369E+17;SIMIANE LA ROTONDE_LE LAVENDULA DE SIMIANE;99;SIMIANE LA ROTONDE;44.000843045;5.57816881;1;Bientôt disponible
2,12369E+17;REVEST DU BION_MAIRIE 2.3  ANCIENNE DECHARGE;280;REVEST DU BION;44.073417;5.551222;1;Bientôt disponible
2,12369E+17;REVEST DU BION_MAIRIE 2.2 ANCIENNE DECHARGE;206;REVEST DU BION;44.073417;5.551222;1;Bientôt disponible
2,12369E+17;VEYNES_CARREFOUR MARKET;276.32;Veynes;44.543191;5.845089;1;Bientôt disponible
2,12369E+17;BRION_GFA DES CHARLOTS;300;Brion;46.925144;4.237263;1;Bientôt disponible
2,12369E+17;LAMBESC_ROCCHIA 4 1.2;150;LAMBESC;43.633575;5.270413;1;Bientôt disponible
2,12369E+17;VARENNE D'ARCONCE_MOMMESSIN;253;Varenne l'Arconce;46.341299;4.157761;1;Bientôt disponible
2,12369E+17;ST PRIEST D'ANDELOT_FABRICE CITERNE;300;St Priest d'Andelot;46.078572;3.144081;1;Bientôt disponible
2,12369E+17;MABLY_GAEC LAURAND;257;MABLY;46.294667;3.89116;1;Bientôt disponible
2,12369E+17;LE BOUCHAUD_GAEC MAURICE;490;Le Bouchaud;46.294667;3.89116;1;Bientôt disponible
2,12369E+17;L'ABERGEMENT STE COLOMBE_GUYON GAEC DE LA ROCHELLE;282;L'Abergement Ste Colombe;46.75589;5.05555;1;Bientôt disponible
2,12369E+17;LA GUICHE_EARL DE VAUVRIENNE;390;La Guiche;46.497719;4.445136;1;Bientôt disponible
2,12369E+17;CERON_GAEC BACHELET;431;Céron / Le Bouchaud;46.298112;3.937238;1;Bientôt disponible
2,12369E+17;BARRAIS BUSSOLLES_EARL LES BOURBYS;500;BARRAIS BUSSOLES;46.293654;3.708236;1;Bientôt disponible
2,12369E+17;AUTUN_DE BONTIN GUY;300;Autun;46.938821;4.276386;1;Bientôt disponible
2,12369E+17;TOULAUD_MAIRIE PARKING;264;TOULAUD;44.900002;4.811667;1;Bientôt disponible
2,12369E+17;MONTAGNAC-MONTPEZAT_SCEA LE COLLET;108;Montagnac-Montpezat;43.748674;6.090811;1;Bientôt disponible
2,12369E+17;CAVAILLON_HERRANZ;202;CAVAILLON;43.8568604;5.04526;1;Bientôt disponible
2,12369E+17;REDORTIERS_BURCHERIE 2.2;33;REDORTIERS;44.065797;5.585615;1;Bientôt disponible
2,12369E+17;MONOBLET_SERVICES TECHNIQUES;99.9;MONOBLET;43.99934;3.893412;1;Bientôt disponible
2,12369E+17;BEGLES_ANTHENO;143;BEGLES;44.7887044;-0.53646;1;Bientôt disponible
2,12369E+17;BRUGES_ANTHENO 1.1 IR;250;BRUGES;44.8957442;-0.60419;1;Bientôt disponible
2,12369E+17;MONTGARDIN_GAEC FONTCLAIRE 1.2;209;Montgardin;44.537917;6.220041;1;Bientôt disponible
2,12369E+17;MONTGARDIN_GAEC FONTCLAIRE 1.1;139;Montgardin;44.537917;6.220041;1;Bientôt disponible
2,12369E+17;LA BASTIDE DES JOURDANS_L'AGNEAU DES CANARDS;141;LA BASTIDE DES JOURDANS;43.79060613;5.64289775;1;Bientôt disponible
2,12369E+17;MONOBLET_BOULODROME;160;MONOBLET;44.00389;3.895572;1;Bientôt disponible
2,12369E+17;CHATEAURENARD_BAUTHEAC 1.2;175;CHATEAURENARD;43.897537;4.8783369;1;Bientôt disponible
2,12369E+17;AUBAGNE_COOP AGRICOLE CIVILE D'AUBAGNE 2;250;Aubagne;43.308299;5.608182;1;Bientôt disponible
2,12369E+17;AUBAGNE_COOP AGRICOLE CIVILE D'AUBAGNE 1;276.62;Aubagne;43.300271;5.591752;1;Bientôt disponible
2,12369E+17;SIGOYER_AUDIBERT CHARLY;203.28;SIGOYER;44.32685;5.950661;1;Bientôt disponible
2,12369E+17;FORCALQUIER_HUGUENET;90;FORCALQUIER;43.956399;5.8033556;1;Bientôt disponible
2,12369E+17;VALENSOLE_GRADIAN (LPG);9;Valensole;43.831107;5.970551;1;Bientôt disponible
2,12369E+17;TALLARD_LES ECURIES DES PAROTS;300;Tallard;44.466113;6.015281;1;Bientôt disponible
2,12369E+17;LE POUZIN_SAT SITE JARJAT LOC 2;241;LE POUZIN;44.74319;4.752525;1;Bientôt disponible
2,12369E+17;LE POUZIN_SAT SITE JARJAT LOC 1.2;250;LE POUZIN;44.74319;4.752525;1;Bientôt disponible
2,12369E+17;LE POUZIN_SAT SITE JARJAT LOC 1.1;250;LE POUZIN;44.74319;4.752525;1;Bientôt disponible
2,12369E+17;ST JULIEN DE PEYROLAS_JULLIEN 1.2;158;ST JULIEN DE PEYROLAS;44.293823;4.5726373;1;Bientôt disponible
2,12369E+17;MALLEMOISSON_COMTE Daniel;99;Mallemoisson;44.049832;6.120544;1;Bientôt disponible
2,12369E+17;LE POUZIN_TRANSPORTS SAT;2400;LE POUZIN;44.7471153;4.754283775;1;Bientôt disponible
2,12369E+17;SIGOYER_GAEC DES AURIOLS 1.2;179.75;SIGOYER;44.47943776;5.970495682;1;Bientôt disponible
2,12369E+17;ST JULIEN DE PEYROLAS_JULLIEN 1.1;222;ST JULIEN DE PEYROLAS;44.293823;4.5726373;1;Bientôt disponible
2,12369E+17;MONTBOUCHER SUR JABRON_AGORA (MAIRIE);260;MONTBOUCHER SUR JABRON;44.554944;4.810155;1;Bientôt disponible
2,12369E+17;MALLEMOISSON_COMTE 1.1;246.6;Mallemoisson;44.049055;6.119456;1;Bientôt disponible
2,12369E+17;MALLEMOISSON_COMTE 1.2;246.6;Mallemoisson;44.049055;6.119456;1;Bientôt disponible
2,12369E+17;FREISSINIERES_GAEC LES RITALS;99;Freissinières;44.755584;6.53476;1;Bientôt disponible
2,12369E+17;ROUMOULES_VILLALBA;253;Roumoules;43.832286;6.150297;1;Bientôt disponible
2,12369E+17;LE POUZIN_SAT OMBRIERE;300;LE POUZIN;44.744281;4.753424;1;Bientôt disponible
2,12369E+17;CASES DE PENE_ECOZONIA;220;Cases-de-Pêne;42.78323195;2.778292865;1;Bientôt disponible
2,12369E+17;LAMBESC_SCI PAJU;175;Lambesc;43.645727384;5.2528367;1;Bientôt disponible
2,12369E+17;EYGALIERES_SCI DES REPENTIES;73.92;Eygalieres;43.784976;4.94895;1;Bientôt disponible
2,12369E+17;ST MARTIN DE BRÔMES_MAIRIE;99.9;Saint Martin de Brômes;43.773401;5.954635;1;Bientôt disponible
2,12369E+17;ESTOUBLON_SOFFIENTINO;99.99;ESTOUBLON;43.957435;6.176083;1;Bientôt disponible
2,12369E+17;BANON_PELISSIER 3 (PC);158;BANON;44.018852;5.632158;1;Bientôt disponible
2,12369E+17;SEDERON_TOUT FAIRE MATERIAUX 1.2 IR;218;SEDERON;44.198716;5.5386856;1;Bientôt disponible
2,12369E+17;CHATEAURENARD_BAUTHEAC 1.1;175;CHATEAURENARD;43.897537;4.8783369;1;Bientôt disponible
2,12369E+17;LE POUZIN_ TRANSPORTS BERNARD 1.2;249.82;LE POUZIN;44.750879;4.751376;1;Bientôt disponible
2,12369E+17;PIOLENC_BARTOLO;220;PIOLENC;44.165519;4.774667;1;Bientôt disponible
2,12369E+17;LES ARCS SUR ARGENS_MERHOLZ 1.2;127;LES ARCS SUR ARGENS;43.450964;6.4633838;1;Bientôt disponible
2,12369E+17;MARSANNE_CORVI;262;Marsanne;44.66057432;4.902879097;1;Bientôt disponible
2,12369E+17;ST ETIENNE LE LAUS_MASSOT;210;Saint-Étienne-le-Laus;44.5040486;6.157709229;1;Bientôt disponible
2,12369E+17;MONETIER ALLEMONT_PHILIP;500;MONETIER-ALLEMONT;44.390117;5.94247;1;Bientôt disponible
2,12369E+17;BARREME_SERVICES TECHNIQUES;-;Barrême;43.951671;6.369186;1;Bientôt disponible
2,12369E+17;MALLEMORT_MASSE Lionel;160;Mallemort;43.716844;5.216064;1;Bientôt disponible
2,12369E+17;CERON_D SUN ENR_SOUFFERANT 1.1;241;CERON;46.27321;3.956577;1;Bientôt disponible
2,12369E+17;CHAUDON-NORANTE_FLEURY 2 PC;183;CHAUDON-NORANTE;43.992807;6.332718;1;Bientôt disponible
2,12369E+17;SISTERON_SCEA LE HAUT SOLEILHET;280;SISTERON;44.217735787;5.887775611;1;Bientôt disponible
2,12369E+17;CHATEAUVIEUX_ALPES CAMPING CAR;272;CHATEAUVIEUX;44.50696708;6.044090206;1;Bientôt disponible
2,12369E+17;LES ARCS SUR ARGENS_MERHOLZ 1.1;251;LES ARCS SUR ARGENS;43.450964;6.4633838;1;Bientôt disponible
2,12369E+17;MALLEMORT_MASSE ALAIN 2 (DP);287;Mallemort;43.714;5.2211;1;Bientôt disponible
2,12369E+17;MALLEMORT_MASSE ALAIN 1.1 (PC);250;Mallemort;43.7147589;5.221105365;1;Bientôt disponible
2,12369E+17;UPAIX_EARL DES BLACHES;130;Upaix;44.335439;5.876622;1;Bientôt disponible
2,12369E+17;MANOSQUE_SCI CLOSALP;1200;Manosque;43.8273855;5.8237842;1;Bientôt disponible
2,12369E+17;SEDERON_TOUT FAIRE MATERIAUX;414;SEDERON;44.198242;5.537937;1;Bientôt disponible
2,12369E+17;BEAUCAIRE_SOCAF 5;227;BEAUCAIRE;43.79248792216855;4.639440382659756;1;Bientôt disponible
2,12369E+17;BEAUCAIRE_SOCAF 3;272;BEAUCAIRE;43.792356;4.638421;1;Bientôt disponible
2,12369E+17;PIERRELATTE_CONQUET BLACHES 2  1.1;227;pierrelatte;44.345503;4.687602;1;Bientôt disponible
2,12369E+17;SORGUES_BAUTHEAC 1.2;29.9;SORGUES ;43.9998729;4.871634;1;Bientôt disponible
2,12369E+17;ST NIZIER SOUS CHARLIEU_DSUN ENR 1_GALICHON;292;SAINT NIZIER SOUS CHARLIEU;46.16874254216003;4.1149621966899605;1;Bientôt disponible
2,12369E+17;BERGESSERIN_DSUN ENR 1_MAZOYER_1463;214;BERGESSERIN;46.389218;4.567827;1;Bientôt disponible
2,12369E+17;REVEST DU BION_MAIRIE 4 HALLE OUVERTE;142;REVEST DU BION;44.082028;5.546222;1;Bientôt disponible
2,12369E+17;REVEST DU BION_MAIRIE 2.1  ANCIENNE DECHARGE;206;REVEST DU BION;44.073417;5.551222;1;Bientôt disponible
2,12369E+17;ST NAZAIRE66_DAUDIES JN;183;SAINT-NAZAIRE;42.659048;2.976663;1;Bientôt disponible
2,12369E+17;ST ALBAN LES EAUX_REFRESCO;300;St Alban les Eaux;46.015593;3.944907;1;Bientôt disponible
2,12369E+17;ROMANS SUR ISERE_CHAMBOST2;249.66;Romans sur Isère;45.047473;5.094485;1;Bientôt disponible
2,12369E+17;MARGÈS_REFRESCO;300;MARGES;45.130951;5.023222;1;Bientôt disponible
2,12369E+17;BEAUCAIRE_BAUTHEAC 1.1 , 1.2;85;Beaucaire;43.78439385264;4.6413903385;1;Bientôt disponible
2,12369E+17;ST AGNAN EN VERCORS_ARNAUD FILS 1.1;315.9;ST AGNAN EN VERCORS;44.929579;5.4338422;1;Bientôt disponible
2,12369E+17;ST AGNAN EN VERCORS_ARNAUD PERE;253;ST AGNAN EN VERCORS;44.8911969;5.42219596;1;Bientôt disponible
2,12369E+17;SIGOYER_ GAEC LES AURIOLS 1.1;179.75;Sigoyer;44.47885677856781;5.970582440013469;1;Bientôt disponible
2,12369E+17;BEAUCAIRE_SOCAF 4;180;BEAUCAIRE;43.79228973893767;4.63777507338602;1;Bientôt disponible
2,12369E+17;LE POUZIN_TRANSPORTS BERNARD 1.1;249.92;LE POUZIN;44.751748;4.751623;1;Bientôt disponible
2,12369E+17;ST PAUL LES DURANCE_PALAJ;79;Saint-Paul-lez-Durance;43.692215435696085;5.734137640924205;1;Bientôt disponible
2,12369E+17;BEAUBERY_DSUN ENR 1_LITAUDON_1720;299;beaubery;46.398201;4.384057;1;Bientôt disponible
2,12369E+17;ST JUST LA PENDUE_DSUN ENR 1_DAP IMMO_1531;258;St Just la Pendue;45.892431;4.233276;1;Bientôt disponible
2,12369E+17;NOAILLY_DSUN ENR 1_DURANTET_1176;300;noailly;46.125144;4.024924;1;Bientôt disponible
2,12369E+17;LEOTOING_CHANIER_DSUN ENR 1_1540;223;LEOTOING;45.35403;3.257861;1;Bientôt disponible
2,12369E+17;LE BOUCHAUD_DSUN ENR 1_VERCHERE_1482;292;LE BOUCHAUD;46.313722;3.933872;1;Bientôt disponible
2,12369E+17;LE BOUCHAUD_DSUN ENR 1_BOROWSKI_1299;270;LE BOUCHAUD;46.299216;3.939627;1;Bientôt disponible
2,12369E+17;CHASSY_DSUN ENR 1_JANIAUD_1125;293;chassy;46.58738;4.11364;1;Bientôt disponible
2,12369E+17;CHANGY_DSUN ENR 1_DEBARNOT_1264;499;CHANGY;46.418589;4.23032;1;Bientôt disponible
2,12369E+17;AVIERNOZ FILLIERE_DSUN ENR 1_JACQUOT_1144;300;AVERNIOZ FILLIERE;45.97199;6.216022;1;Bientôt disponible
2,12369E+17;TARTONNE_CHAILLAN;150;TARTONNE;44.06964;6.387597;1;Bientôt disponible
2,12369E+17;ST JEANNET_MANENT0;218.96;SAINT JEANNET;43.986497;6.124399;1;Bientôt disponible
2,12369E+17;LARDIERS_MAUREL PERE;140;LARDIERS;44.06113177244185;5.708859205858463;1;Bientôt disponible
2,12369E+17;LA MURE ARGENS_B&C 1;99;LA MURE ARGENS;43.975008;6.518091;1;Bientôt disponible
2,12369E+17;CLUMANC_LAFON;144;Clumanc;44.02142181343127;6.368287953991124;1;Bientôt disponible
2,12369E+17;MANOSQUE_NICOLOSI CRÉATIONS;100;MANOSQUE ;43.837788;5.779027;1;Bientôt disponible
2,12369E+17;BOULETERNERE_MARGALET;150;BOULETERNERE;42.655356;2.585867;1;Bientôt disponible
2,12369E+17;VILLENEUVE_COUPIER;262;VILLENEUVE;43.882944;5.853889;1;Bientôt disponible
2,12369E+17;THEUS_ROMANO;380;THEUS;44.463472;6.180861;1;Bientôt disponible
2,12369E+17;ST LAURENT DU CROS_AUDEOUD;102;ST LAURENT DU CROS;44.64395994377872;6.112748822642672;1;Bientôt disponible
2,12369E+17;STE TULLE_MARTINS;255;Sainte-Tulle;43.77483499173171;5.785662557450751;1;Bientôt disponible
2,12369E+17;TRAVAILLAN_SARL DE FAMILLE LA ROZIERE;227;travaillan;44.186274;4.895033;1;Bientôt disponible
2,12369E+17;STE MAXIME_CIMES PATRIMOINE;3100;Sainte-Maxime;43.32634250477117;6.6058003190380905;1;Bientôt disponible
2,12369E+17;MONETIER-ALLEMONT_DUPONT;213.61;MONETIER ALLEMONT;44.38829793492402;5.942255948711835;1;Bientôt disponible
2,12369E+17;SIMIANE LA ROTONDE_CASSAN;149.79;Simiane-la-Rotonde;43.959998333714516;5.530648768176423;1;Bientôt disponible
2,12369E+17;SENEZ_CHAILLAN 2;36;Senez;43.899046;6.418956;1;Bientôt disponible
2,12369E+17;SENEZ_CHAILLAN 1;100; Senez;43.899125;6.418038;1;Bientôt disponible
2,12369E+17;ROQUEBRUNE SUR ARGENS_KRAUSE 2;120;Roquebrune sur Argens;43.490186;6.652403;1;Bientôt disponible
2,12369E+17;PONT ST ESPRIT_SELLENS;99;PONT-SAINT-ESPRIT;44.25659;4.646763;1;Bientôt disponible
2,12369E+17;PERTUIS_CAVE DES BONS SACHANTS;252;PERTUIS;43.68489;5.504427;1;Bientôt disponible
2,12369E+17;ORAISON LES BUISSONNADES_SUBE;99;ORAISON;43.884617;5.905863;1;Bientôt disponible
2,12369E+17;MONTELIMAR_RENAULT 1.1;250;MONTELIMAR;44.580415;4.754196;1;Bientôt disponible
2,12369E+17;MONTANGES_PERROT_DSUN ENR 1_1034;466;montanges;46.161426;5.796802;1;Bientôt disponible
2,12369E+17;MANOSQUE_BERTRAND RENEE 1.1;130;MANOSQUE ;43.81300901749556;5.775078302858869;1;Bientôt disponible
2,12369E+17;MAILLANE_SCI LORANE;250;MAILLANE;43.81827028599;4.806483633621;1;Bientôt disponible
2,12369E+17;LES MEES_MAIRIE LA TAURA;100;Les Mées;44.02639388416221;5.958268540165627;1;Bientôt disponible
2,12369E+17;LAMBESC_ROCCHIA 4 1.1;250;Lambesc;43.633575;5.270413;1;Bientôt disponible
2,12369E+17;JARJAYES_MARCELLIN 3;185;JARJAYES;44.50466448885085;6.107177541465715;1;Bientôt disponible
